AAPL,Apple,
GOOGL,Google,Alphabet
MSFT,Microsoft,
AMZN,Amazon,
FB,Facebook,
CMCSA,Comcast Corporation,
INTC,Intel Corporation,
CSCO,"Cisco Systems, Inc.",
AMGN,Amgen Inc.,
KHC,The Kraft Heinz Company,
AVGO,Broadcom Limited,
CELG,Celgene Corporation,
PCLN,The Priceline Group Inc. ,
SBUX,Starbucks Corporation,
TIG,TiGenix,
WBA,"Walgreens Boots Alliance, Inc.",
QCOM,QUALCOMM Incorporated,
CHTR,"Charter Communications, Inc.",
GILD,"Gilead Sciences, Inc.",
NVDA,NVIDIA Corporation,
TXN,Texas Instruments Incorporated,
VOD,Vodafone Group Plc,
COST,Costco Wholesale Corporation,
MDLZ,"Mondelez International, Inc.",
NFLX,"Netflix, Inc.",
ADBE,Adobe Systems Incorporated,
BIDU,"Baidu, Inc.",
PYPL,"PayPal Holdings, Inc.",
JD,"JD.com, Inc.",
ASML,ASML Holding N.V.,
SHPG,Shire plc,
TMUS,"T-Mobile US, Inc.",
BIIB,Biogen Inc.,
AMOV,"America Movil, S.A.B. de C.V.",
TSLA,"Tesla, Inc. ",
FOX,"Twenty-First Century Fox, Inc.",
QQQ,"PowerShares QQQ Trust, Series 1",
YHOO,Yahoo! Inc.,
REGN,"Regeneron Pharmaceuticals, Inc.",
AMAT,"Applied Materials, Inc.",
